Name,Start,End,Duration
Training Classification DecisionTreeClassifier with feature TfidfVectorizer_1,1660418323.888712,1660418323.889926,0.0012140274047851562
Testing Classification DecisionTreeClassifier with feature TfidfVectorizer_1,1660418323.8902361,1660418323.8904521,0.00021600723266601562
Training Classification SVC with feature TfidfVectorizer_1,1660418323.8974354,1660418323.8981512,0.0007157325744628906
Testing Classification SVC with feature TfidfVectorizer_1,1660418323.8984268,1660418323.89869,0.000263214111328125
Training Classification RandomForestClassifier with feature TfidfVectorizer_1,1660418323.9067433,1660418324.0897887,0.1830453872680664
Testing Classification RandomForestClassifier with feature TfidfVectorizer_1,1660418324.092915,1660418324.105022,0.012106895446777344
Training Classification LogisticRegression with feature RES,1660418324.9456635,1660418411.2865527,86.34088921546936
Testing Classification LogisticRegression with feature RES,1660418411.2896826,1660418411.2907293,0.0010466575622558594
Training Classification DecisionTreeClassifier with feature RES,1660418411.363506,1660418411.8879979,0.5244917869567871
Testing Classification DecisionTreeClassifier with feature RES,1660418411.8884225,1660418411.8893027,0.0008802413940429688
Training Classification SVC with feature RES,1660418411.9293597,1660418414.141638,2.212278366088867
Testing Classification SVC with feature RES,1660418414.1447241,1660418414.9541895,0.8094654083251953
Training Classification RandomForestClassifier with feature RES,1660418414.993508,1660418417.808131,2.8146228790283203
Testing Classification RandomForestClassifier with feature RES,1660418417.838549,1660418417.889504,0.05095505714416504
Preprocess KERN,1660418440.254554,1660418440.312587,0.058032989501953125
Cleaning SYS's data,1660418440.3127415,1660418440.3127863,4.482269287109375e-05
Creating the corpus,1660418440.3128734,1660418441.1477008,0.8348274230957031
Preprocess SYS,1660418440.3127248,1660418443.2121544,2.8994295597076416
Preprocess RES,1660418443.2122762,1660418443.254452,0.0421757698059082
Preprocess KERN,1660418488.217111,1660418488.3133175,0.0962064266204834
Cleaning SYS's data,1660418488.3135777,1660418488.3136585,8.082389831542969e-05
Creating the corpus,1660418488.3138015,1660418489.2136414,0.8998398780822754
Preprocess SYS,1660418488.3135405,1660418491.3603454,3.046804904937744
Preprocess RES,1660418491.3604429,1660418491.3980143,0.03757143020629883
Preprocess KERN,1660418538.7791762,1660418538.9087982,0.1296219825744629
Cleaning SYS's data,1660418538.909035,1660418538.9091024,6.747245788574219e-05
Creating the corpus,1660418538.9092677,1660418539.7765653,0.8672976493835449
Preprocess SYS,1660418538.9089973,1660418541.8731143,2.9641170501708984
Preprocess RES,1660418541.8732135,1660418541.90963,0.03641653060913086
Preprocess KERN,1660418588.3183367,1660418588.3984215,0.08008480072021484
Cleaning SYS's data,1660418588.398797,1660418588.3988912,9.417533874511719e-05
Creating the corpus,1660418588.3990822,1660418589.5444832,1.1454010009765625
Preprocess SYS,1660418588.3987522,1660418592.0634403,3.6646881103515625
Preprocess RES,1660418592.0635462,1660418592.1022058,0.03865957260131836
